source_file,entity_label,bank_id,account_id,account_type,txn_date,txn_type,amount,name,memo,fitid,is_dup
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-31,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20260331 7166008 3,500 17,484,052",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-31,CREDIT,2.31,Deposit Transfer,Deposit Transfer,"20260331 7166008 231 17,484,050",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,DEBIT,-37098.41,Withdrawal Trans,Withdrawal Trans,"20260318 7166008 3,709,841 5,847,397",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,CREDIT,32822.34,Deposit Transfer From STV ENTITL,Deposit Transfer From STV ENTITLEMENT XXXXXXX2215,"20260318 7166008 3,282,234 5,822,494",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,CREDIT,1.00,Deposit Transfer From PROVIDENCE,Deposit Transfer From PROVIDENCE PARTN XXXXXXX2206,"20260318 7166008 100 5,764,247",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,CREDIT,1.00,Deposit Transfer From AW1 LLC XX,Deposit Transfer From AW1 LLC XXXXXXX2200,"20260318 7166008 100 5,678,165",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,CREDIT,1.00,Deposit Transfer From LAZARUS IN,Deposit Transfer From LAZARUS INVESTME XXXXXXX2203,"20260318 7166008 100 5,429,631",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,DEBIT,-30.00,Withdrawal,Withdrawal,"20260318 7166008 3,000 5,359,782",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,DEBIT,-30.00,Withdrawal,Withdrawal,"20260318 7166008 3,000 5,350,263",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-03-18,CREDIT,4333.07,Deposit Transfer,Deposit Transfer,"20260318 7166008 433,307 5,317,626",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-02-28,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20260228 7166008 3,500 16,748,092",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-02-28,CREDIT,35.00,Deposit Transfer,Deposit Transfer,"20260228 7166008 3,500 16,748,090",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-01-31,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20260131 7166008 3,500 15,137,701",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2026-01-31,CREDIT,35.00,Deposit Transfer,Deposit Transfer,"20260131 7166008 3,500 15,137,700",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-12-31,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20251231 7166008 3,500 17,538,100",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-12-31,CREDIT,35.00,Deposit Transfer,Deposit Transfer,"20251231 7166008 3,500 17,538,099",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-11-30,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20251130 7166008 3,500 14,794,121",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-11-30,CREDIT,35.00,Deposit Transfer,Deposit Transfer,"20251130 7166008 3,500 14,794,119",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-10-31,DEBIT,-35.00,Analysis Fee,Analysis Fee,"20251031 7166008 3,500 17,701,843",false
20251001-20260415_STDG-Checking.qbo,STDG-Checking,[ROUTING-REDACTED],13602212-S0050,CHECKING,2025-10-31,CREDIT,35.00,Deposit Transfer,Deposit Transfer,"20251031 7166008 3,500 17,701,842",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-03-31,DEBIT,-2.31,Withdrawal Trans,Withdrawal Trans,"20260331 7243093 231 17,484,049",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-03-31,CREDIT,2.31,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20260331 7243093 231 16,438,403",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-03-18,DEBIT,-4333.07,Withdrawal Trans,Withdrawal Trans,"20260318 7243093 433,307 5,317,625",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-02-28,DEBIT,-35.00,Withdrawal Trans,Withdrawal Trans,"20260228 7243093 3,500 16,748,089",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-02-28,CREDIT,3.82,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20260228 7243093 382 15,753,514",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-01-31,DEBIT,-35.00,Withdrawal Trans,Withdrawal Trans,"20260131 7243093 3,500 15,137,698",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2026-01-31,CREDIT,4.26,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20260131 7243093 426 14,176,026",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-12-31,DEBIT,-35.00,Withdrawal Trans,Withdrawal Trans,"20251231 7243093 3,500 17,538,098",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-12-31,CREDIT,4.29,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20251231 7243093 429 16,607,151",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-11-30,DEBIT,-35.00,Withdrawal Trans,Withdrawal Trans,"20251130 7243093 3,500 14,794,118",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-11-30,CREDIT,4.18,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20251130 7243093 418 13,899,856",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-10-31,DEBIT,-35.00,Withdrawal Trans,Withdrawal Trans,"20251031 7243093 3,500 17,701,841",false
20251001-20260415_STDG-SWEEP.qbo,STDG-SWEEP,[ROUTING-REDACTED],13602212-S0059,CHECKING,2025-10-31,CREDIT,4.35,Deposit Dividend Annual Percenta,Deposit Dividend Annual Percentage Yield Earned 115 from,"20251031 7243093 435 16,828,824",false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,b6fc7309262e3da8ef8bf052322b1ca2cc23a560,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,3439ac9f6be79a9e6aefa1b92f9987e695867680,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,e4b2ce4ccb430b814e350d682c92dc6849a6c696,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,55d26ede77f5f22dba68f58b8cf113bd37298f4d,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,43a3876a110af5d4ce21fce0b2a44cff61037bfe,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23721.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,45786d65101fad71814a40d1f0aac3bf0f655941,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23796.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,afffb732b4db6d5d268042cef983d1cc6023ab55,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-11,DEBIT,-23796.22,Ext WD SPANISH FORK CIT  - DEBIT,Ext WD SPANISH FORK CIT - DEBITS,34ecfccc99f61c8b04cb06a982958df81719cd30,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-12,CHECK,-25000.00,Check,,820651836ac9e09c063d7be365146a40bfea798d,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-20,DEBIT,-88922.00,Domestic Wire Withdrawal Outgoin,Domestic Wire Withdrawal Outgoing Seq 137608 Jordan Fa,e657b19f1a462b76ce3f8c3072d7c50f8b97570b,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-20,DEBIT,-15.00,Domestic Wire Wth Fee Domestic O,Domestic Wire Wth Fee Domestic Outgoing Wire Fee 13760,5a934e8c51927cc577dcfe8b19837a9cbf0cbb62,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-28,CHECK,-17462.19,Check,,51bac7f603ae2d035e0d32ea0f00d7b74844d409,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-28,CREDIT,464186.31,Domestic Wire Deposit Incoming S,Domestic Wire Deposit Incoming Seq 97962628 ARIXA CAPI,d434df803410501c4d66639a3bc3eccaf4a84297,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-28,DEBIT,-10.00,Domestic Wire Deposit Fee Domest,Domestic Wire Deposit Fee Domestic Incoming Wire Fee 9,2bd0956bdb43987eb512ff03a503b8115deeb770,false
AccountHistory-Madison-Checking_20250506-20250531.qbo,Madison-Checking,[ROUTING-REDACTED],[ACCOUNT-REDACTED],CHECKING,2026-05-29,DEBIT,-31338.39,Withdrawal CM Fees for Madison,,32f82d7cdda0df03b81e86a1309854a8d4ac1347,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-01,CREDIT,1965.22,Dividends,,71a8005555b8ec67c34ea80e7cce84bccfa3c1ef,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-02,DEBIT,-20000.00,Withdrawal Transfer funds to cov,Withdrawal Transfer funds to cover payments ACH Payrol,425d4eb48efb3aaa7b56dda47058378db7873959,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-13,DEBIT,-3000.00,Withdrawal Interest payment 12SB,Withdrawal Interest payment 12SB needs to be returned,c17c93bdf6a7c237455755c2dcfbdaabf7bc89aa,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-15,DEBIT,-15000.00,Withdrawal Cover payroll,,e57e331be3723deff5605002a54482f6f6fe819a,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-16,DEBIT,-20000.00,Withdrawal Cover bills transferr,Withdrawal Cover bills transferred,27c4369348f286fccde20a3533cb4338d37b5a3a,false
AccountHistory.qbo,AccountHistory,[ROUTING-REDACTED],[ACCOUNT-REDACTED],SAVINGS,2026-01-21,DEBIT,-41220.00,Withdrawal Loan to Lazarus for Q,Withdrawal Loan to Lazarus for Quincy Cash call Jan 26,4b3c14f647b65877255b2feb4262f1c9181889dc,false
