"Project","Category","FileName","Type","SizeKB","LastModified","FullPath"
"Union Walk","(root)","Union Walk Conditional Lien Waiver - Blank.pdf",".pdf","113.6","2025-12-19 09:43","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Union Walk Conditional Lien Waiver - Blank.pdf"
"Union Walk","(root)","Union Walk Budget Reconciliation wChange Orders.gdoc",".gdoc","0.2","2026-01-15 14:06","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Union Walk Budget Reconciliation wChange Orders.gdoc"
"Union Walk","(root)","Union Walk Budget Reconciliation wChange Orders 1-2-2026.pdf",".pdf","137.3","2026-01-15 14:08","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Union Walk Budget Reconciliation wChange Orders 1-2-2026.pdf"
"Union Walk","(root)","1-15-2026 Union Walk Budget Reconciliation wChange Orders.gdoc",".gdoc","0.2","2026-01-15 15:43","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\1-15-2026 Union Walk Budget Reconciliation wChange Orders.gdoc"
"Union Walk","(root)","Change_Orders_UW_Change_Order_1758832065.gsheet",".gsheet","0.2","2026-01-15 15:53","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Change_Orders_UW_Change_Order_1758832065.gsheet"
"Union Walk","Pay App 12","Union Walk Draw #12 (3-17-26).pdf",".pdf","23215.9","2026-03-20 10:29","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Pay App 12\Union Walk Draw #12 (3-17-26).pdf"
"Union Walk","Pay App 12","2026.04.01_Betzy-EMAIL_Union Walk_Station Draw 12_Additional Invoice to the Loan.pdf",".pdf","141.7","2026-04-02 10:29","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Pay App 12\2026.04.01_Betzy-EMAIL_Union Walk_Station Draw 12_Additional Invoice to the Loan.pdf"
"Union Walk","Pay App 12","Union Walk Draw #12 (3-17-26) - SIGNED.pdf",".pdf","23302.8","2026-03-23 13:16","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Pay App 12\Union Walk Draw #12 (3-17-26) - SIGNED.pdf"
"Union Walk","Pay App 12\Archive","Union Walk Draw #12 (3-13-26).pdf",".pdf","20690","2026-03-13 12:02","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Pay App 12\Archive\Union Walk Draw #12 (3-13-26).pdf"
"Union Walk","Pay App 01","Union Walk Draw 1 (12-17-24) (version 4) (1).pdf",".pdf","4099.2","2025-02-18 13:01","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\Union Walk\Construction\Pay Apps   Draws\Pay App 01\Union Walk Draw 1 (12-17-24) (version 4) (1).pdf"
